;IN;OUT;MIN;MOUT;WIN;WOUT;GIN;GOUT;Passersby
13/10/2024 20:59;0;0;0;0;0;0;0;0;1030
13/10/2024 21:59;0;0;0;0;0;0;0;0;598
13/10/2024 22:59;0;0;0;0;0;0;0;0;351
13/10/2024 23:59;0;0;0;0;0;0;0;0;130
14/10/2024 00:59;0;0;0;0;0;0;0;0;57
14/10/2024 01:59;0;0;0;0;0;0;0;0;20
14/10/2024 02:59;0;0;0;0;0;0;0;0;60
14/10/2024 03:59;0;0;0;0;0;0;0;0;21
14/10/2024 04:59;0;0;0;0;0;0;0;0;99
14/10/2024 05:59;0;0;0;0;0;0;0;0;253
14/10/2024 06:59;16;12;7;4;5;4;16;12;881
14/10/2024 07:59;52;39;15;9;28;16;52;37;1904
14/10/2024 08:59;39;26;7;4;19;12;38;26;1648
14/10/2024 09:59;;;;;;;;;0
14/10/2024 10:59;;;;;;;;;0
14/10/2024 11:59;;;;;;;;;0
14/10/2024 12:59;;;;;;;;;0
14/10/2024 13:59;;;;;;;;;0
14/10/2024 14:59;;;;;;;;;0
14/10/2024 15:59;;;;;;;;;0
14/10/2024 16:59;;;;;;;;;0
14/10/2024 17:59;;;;;;;;;0
14/10/2024 18:59;;;;;;;;;0
14/10/2024 19:59;;;;;;;;;0
14/10/2024 20:59;;;;;;;;;0
14/10/2024 21:59;;;;;;;;;0
14/10/2024 22:59;;;;;;;;;0
